wavelength_fl_nm,fluorescence_405_nm,wavelength_abs_nm,absorbance
405.5,0.0013,380.1,0.444
406.3,0.0013,380.9,0.457
407.2,0.0013,381.8,0.479
408,0.0013,382.6,0.501
408.8,0.0013,383.4,0.52
409.7,0.00125,384.3,0.537
410.5,0.0013,385.1,0.555
411.4,0.0013,386,0.571
412.2,0.0013,386.8,0.587
413.1,0.00135,387.7,0.601
413.9,0.00135,388.5,0.616
414.8,0.00135,389.4,0.631
415.6,0.00135,390.2,0.645
416.5,0.00135,391.1,0.66
417.3,0.00135,391.9,0.675
418.2,0.0014,392.8,0.69
419,0.0014,393.6,0.704
419.8,0.0014,394.5,0.716
420.7,0.00145,395.3,0.729
421.5,0.00145,396.1,0.742
422.4,0.0015,397,0.756
423.2,0.0015,397.8,0.769
424.1,0.00155,398.7,0.782
424.9,0.00155,399.5,0.794
425.8,0.0016,400.4,0.805
426.6,0.00165,401.2,0.816
427.5,0.00165,402.1,0.827
428.3,0.00175,402.9,0.837
429.2,0.0018,403.8,0.847
430,0.00185,404.6,0.856
430.9,0.0019,405.5,0.865
431.7,0.002,406.3,0.871
432.5,0.002,407.2,0.877
433.4,0.00215,408,0.883
434.2,0.0022,408.8,0.887
435.1,0.00225,409.7,0.891
435.9,0.0024,410.5,0.893
436.8,0.00255,411.4,0.894
437.6,0.0027,412.2,0.891
438.5,0.0028,413.1,0.887
439.3,0.00295,413.9,0.879
440.2,0.0031,414.8,0.868
441,0.00335,415.6,0.855
441.9,0.0036,416.5,0.84
442.7,0.00385,417.3,0.82
443.6,0.0041,418.2,0.799
444.4,0.00435,419,0.771
445.2,0.00465,419.8,0.742
446.1,0.00495,420.7,0.709
446.9,0.00535,421.5,0.676
447.8,0.00575,422.4,0.64
448.6,0.0062,423.2,0.604
449.5,0.0066,424.1,0.567
450.3,0.00705,424.9,0.53
451.2,0.00755,425.8,0.494
452,0.00805,426.6,0.459
452.9,0.0086,427.5,0.425
453.7,0.00915,428.3,0.391
454.6,0.0098,429.2,0.358
455.4,0.0104,430,0.329
456.3,0.0111,430.9,0.3
457.1,0.01165,431.7,0.275
457.9,0.0123,432.5,0.249
458.8,0.0129,433.4,0.226
459.6,0.01365,434.2,0.204
460.5,0.01435,435.1,0.185
461.3,0.0151,435.9,0.166
