wavelength_nm,abs_blue_1,abs_red_40
380,0.1679,0.258
380.9,0.1702,0.259
381.8,0.1748,0.258
382.7,0.17825,0.258
383.6,0.18055,0.256
384.5,0.184,0.255
385.3,0.1886,0.253
386.2,0.19205,0.251
387.1,0.19435,0.247
388,0.19435,0.243
388.9,0.19665,0.24
389.8,0.1978,0.237
390.7,0.1978,0.233
391.6,0.19895,0.229
392.5,0.19895,0.226
393.4,0.19895,0.224
394.2,0.19895,0.222
395.1,0.19895,0.22
396,0.2001,0.217
396.9,0.20125,0.214
397.8,0.20355,0.211
398.7,0.2047,0.208
399.6,0.207,0.206
400.5,0.2093,0.203
401.4,0.2116,0.202
402.3,0.21505,0.202
403.1,0.21735,0.2
404,0.21965,0.198
404.9,0.22195,0.197
405.8,0.2231,0.195
406.7,0.2254,0.194
407.6,0.22655,0.194
408.5,0.2277,0.193
409.4,0.2277,0.194
410.3,0.2277,0.193
411.2,0.2277,0.194
412,0.22655,0.195
412.9,0.2254,0.195
413.8,0.22425,0.195
414.7,0.2231,0.195
415.6,0.2208,0.195
416.5,0.2162,0.195
417.4,0.2139,0.197
418.3,0.2116,0.198
419.2,0.2093,0.2
420.1,0.207,0.201
420.9,0.20355,0.203
421.8,0.20125,0.205
422.7,0.1978,0.207
423.6,0.1955,0.21
424.5,0.19205,0.213
425.4,0.18975,0.216
426.3,0.1863,0.219
427.2,0.184,0.222
428.1,0.18055,0.226
429,0.17825,0.229
429.8,0.17595,0.234
430.7,0.17365,0.238
431.6,0.17135,0.243
432.5,0.16905,0.247
433.4,0.16675,0.252
434.3,0.16445,0.258
435.2,0.161,0.264
436.1,0.1587,0.269
437,0.1564,0.275
437.8,0.1541,0.282
438.7,0.15295,0.29
439.6,0.15065,0.297
440.5,0.14835,0.305
441.4,0.1449,0.314
442.3,0.14375,0.323
443.2,0.14145,0.333
444.1,0.13915,0.342
445,0.13685,0.351
445.9,0.1357,0.36
446.7,0.1334,0.369
447.6,0.13225,0.379
448.5,0.12995,0.39
449.4,0.1265,0.402
450.3,0.1242,0.413
451.2,0.1219,0.425
452.1,0.1196,0.437
453,0.11845,0.449
453.9,0.11615,0.461
454.8,0.11385,0.473
455.6,0.11155,0.485
456.5,0.10925,0.498
457.4,0.10695,0.511
458.3,0.10465,0.523
459.2,0.1035,0.535
460.1,0.1012,0.548
461,0.10005,0.561
461.9,0.09775,0.574
462.8,0.0966,0.587
463.7,0.0943,0.6
464.5,0.09315,0.612
465.4,0.09085,0.625
466.3,0.08855,0.639
467.2,0.08625,0.652
468.1,0.08395,0.663
469,0.0828,0.675
469.9,0.0805,0.687
470.8,0.07935,0.699
471.7,0.0782,0.712
472.6,0.07705,0.722
473.4,0.07475,0.733
474.3,0.07245,0.742
475.2,0.0713,0.754
476.1,0.07015,0.765
477,0.069,0.776
477.9,0.06785,0.786
478.8,0.06555,0.796
479.7,0.0644,0.804
480.6,0.06325,0.814
481.4,0.06095,0.824
482.3,0.0598,0.835
483.2,0.05865,0.844
484.1,0.05865,0.851
485,0.0575,0.859
485.9,0.0552,0.864
486.8,0.0529,0.872
487.7,0.05175,0.876
488.6,0.0506,0.885
489.5,0.0506,0.89
490.3,0.0483,0.897
491.2,0.04715,0.9
492.1,0.046,0.905
493,0.04485,0.908
493.9,0.0437,0.911
494.8,0.04255,0.913
495.7,0.0414,0.915
496.6,0.04025,0.917
497.5,0.0391,0.919
498.4,0.0391,0.922
499.2,0.03795,0.922
500.1,0.03795,0.922
501,0.0368,0.921
501.9,0.03565,0.92
502.8,0.0345,0.918
503.7,0.0345,0.917
504.6,0.0345,0.915
505.5,0.03565,0.914
506.4,0.03565,0.912
507.3,0.03565,0.908
508.1,0.03565,0.904
509,0.03565,0.901
509.9,0.0368,0.896
510.8,0.03795,0.892
511.7,0.0391,0.888
512.6,0.0391,0.884
513.4,0.0391,0.879
514.2,0.0391,0.874
515,0.04025,0.87
515.8,0.0414,0.865
516.7,0.04255,0.859
517.5,0.04485,0.853
518.3,0.04485,0.848
519.1,0.04715,0.843
520,0.04715,0.836
520.8,0.0483,0.831
521.6,0.04945,0.824
522.4,0.0506,0.82
523.2,0.0529,0.812
524.1,0.05405,0.805
524.9,0.0552,0.797
525.7,0.0575,0.79
526.5,0.05865,0.783
527.3,0.06095,0.776
528.2,0.0621,0.768
529,0.0644,0.76
529.8,0.06555,0.75
530.6,0.0667,0.742
531.5,0.0667,0.732
532.3,0.06785,0.722
533.1,0.07015,0.709
533.9,0.07245,0.699
534.7,0.07475,0.688
535.6,0.07705,0.678
536.4,0.07935,0.665
537.2,0.0805,0.651
538,0.0805,0.637
538.9,0.08165,0.624
539.7,0.08395,0.61
540.5,0.0874,0.597
541.3,0.09085,0.582
542.1,0.09545,0.568
543,0.0966,0.554
543.8,0.09775,0.539
544.6,0.10005,0.522
545.4,0.10235,0.506
546.2,0.1058,0.489
547.1,0.1081,0.472
547.9,0.1104,0.456
548.7,0.11385,0.44
549.5,0.11615,0.425
550.4,0.11845,0.41
551.2,0.12075,0.392
552,0.1242,0.376
552.8,0.1288,0.36
553.6,0.13225,0.346
554.5,0.1357,0.331
555.3,0.138,0.316
556.1,0.1426,0.302
556.9,0.14605,0.288
557.7,0.15065,0.275
558.6,0.1541,0.262
559.4,0.1587,0.249
560.2,0.1633,0.237
561,0.16675,0.226
561.9,0.17135,0.215
562.7,0.1748,0.205
563.5,0.1794,0.194
564.3,0.184,0.184
565.1,0.18975,0.175
566,0.19435,0.166
566.8,0.19895,0.157
567.6,0.2047,0.149
568.4,0.2093,0.141
569.3,0.21505,0.135
570.1,0.2208,0.129
570.9,0.2254,0.123
571.7,0.23,0.117
572.5,0.2346,0.111
573.4,0.24035,0.105
574.2,0.2438,0.1
575,0.2484,0.095
575.8,0.253,0.091
576.6,0.25875,0.087
577.5,0.26335,0.083
578.3,0.2691,0.08
579.1,0.2737,0.076
579.9,0.27945,0.073
580.8,0.28405,0.07
581.6,0.2875,0.067
582.4,0.29095,0.065
583.2,0.2944,0.062
584,0.299,0.059
584.9,0.30245,0.056
585.7,0.30705,0.054
586.5,0.3128,0.052
587.3,0.3174,0.05
588.1,0.322,0.048
588.9,0.3266,0.046
589.6,0.3312,0.044
590.4,0.3358,0.043
